__v,_id,amount,author,book_cover,category,description,manufacturer,name,number_of_page,price,publication_date,publisher,stars.averageStars,stars.totalAmountVotes,stars.totalNumberStars
1,6294869b64224ee2043fbff2,50,Rasmus Hoài Nam,Bìa cứng,sachcongnghe,"Cuốn sách nói về cuộc đời đầy biến cố và những công trình khoa học vĩ đại của Newton. Cuộc đời Newton trải qua nhiều thăng trầm, tuy nhiên những khó khăn chưa bao giờ khiến ông lùi bước. Không phải nghiên cứu nào của ông cũng đạt được thành quả ngay lập tức mà cần trải qua một quá trình lâu dài, đòi hỏi sự hi sinh và thời gian để ghi nhận.",Nhã Nam,Isaac Newton - Nhà Khoa Học Vĩ Đại,350,33000,2020,NXB Thanh Niên,,,
1,6294876164224ee2043fbff5,50,DR Cherry Vũ,Bìa cứng,sachbame,"Qua cuốn sách này, ba tác giả muốn truyền tải đến các bậc phụ huynh thông điệp: Con bạn đang sống trong một thế giới mà bạn không thể tưởng tượng được khi ở độ tuổi của chúng. Những cách làm cha mẹ hiệu quả của thế hệ trước sẽ không còn hiệu quả nữa. Bạn không biết điều gì mới là quan trọng với con mình, bạn cũng không hiểu những giá trị của chúng. Việc cố gắng áp dụng các kỹ thuật kiểm soát và trừng phạt của cha mẹ truyền thống sẽ chỉ tạo ra những đứa trẻ không hạnh phúc, thậm chí gây tổn hại đến sức khỏe tâm thần của chúng.",Đông A,Con Mình Chẳng Lẽ Lại Vứt,350,122000,2020,NXB Thế Giới,,,
1,629488ae64224ee2043fbff8,50,BS Trí Đoàn,Bìa cứng,sachdaycon,"Để con được ốm có thể coi là một cuốn nhật ký học làm mẹ thông qua những câu chuyện từ trải nghiệm thực tế mà chị Uyên Bùi đã trải qua từ khi mang thai đến khi em bé chào đời và trở thành một cô bé khỏe mạnh, vui vẻ. Cùng với những câu chuyện nhỏ thú vị của người mẹ là lời khuyên mang tính chuyên môn, giải đáp cụ thể từ bác sỹ Nguyễn Trí Đoàn, giúp hóa giải những hiểu lầm từ kinh nghiệm dân gian được truyền lại, cũng như lý giải một cách khoa học những thông tin chưa đúng đắn đang được lưu truyền hiện nay, mang đến góc nhìn đúng đắn nhất cho mỗi hiện tượng, sự việc với những kiến thức y khoa hiện đại được cập nhật liên tục. Cuốn sách sẽ giúp các bậc phụ huynh trang bị một số kiến thức cơ bản trong việc chăm sóc trẻ một cách khoa học và góp phần giúp các mẹ và những-người-sẽ-là-mẹ trở nên tự tin hơn trong việc chăm con, xua tan đi những lo lắng, để mỗi em bé ra đời đều được hưởng sự chăm sóc tốt nhất.",Đông A,Để Con Được Ốm,350,76000,2020,NXB Thế Giới,,,
1,629489e0bfc748518b31f44f,49,Ashlee Vance,Bìa cứng,sachkinhte,"Trong cuốn Elon Musk: Tesla, SpaceX và sứ mệnh tìm kiếm một tương lai ngoài sức tưởng tượng, nhà báo công nghệ kỳ cựu Ashlee Vance đã mở cánh cửa đầu tiền nhìn vào cuộc sống phi thường của doanh nhân táo bạo nhất thung lũng Silicon. Được viết với độc quyền tiếp cận Musk, gia đình và bạn bè anh, cuốn sách lần theo cuộc hành trình của doanh nhân này, từ thuở nhỏ được nuôi dạy ở Nam Phi đến khi lên đến đỉnh cao của giới kinh doanh toàn cầu. Vance dành hơn 30 giờ trò chuyện với Musk và phỏng vấn gần 300 người để kể những câu chuyện đầy biến động về các công ty đang làm thay đổi thế giới mà Musk thành lập: PayPal, Tesla Motors, SpaceX và SolarCity, và để mô tả một người đàn ông đã tạo sức sống mới cho ngành công nghiệp Mỹ và thổi bùng tinh thần đổi mới ở một cấp độ khác, trong khi cũng tạo nên không ít kẻ thù trên con đường đó.",Nhã Nam,"Elon Musk: Tesla, Spacex Và Sứ Mệnh Tìm Kiếm Một Tương Lai Ngoài Sức Tưởng Tượng",350,191000,2020,NXB Thế Giới,5,2,10
1,62948bdabfc748518b31f452,50,Sam Smith,Bìa cứng,sachthieunhi,"Bộ sách MÊ CUNG PHÁT TRIỂN TƯ DUY đúng như tên gọi Chính của các tập sách, giúp trẻ phát triển rất nhiều kĩ năng thông qua việc tìm đường đi trong mê cung.",Nhã Nam,Mê Cung Phát Triển Tư Duy - Khám Phá Thế Giới,350,69000,2020,NXB Phụ Nữ,,,
1,62948c6abfc748518b31f455,50,A Crazy Mind,Bìa cứng, sachvanhoc,"Cuốn sách là tập hợp những câu chuyện có thật của những số phận khác nhau đang gặp phải các vấn đề về tâm lý: trầm cảm, rối loạn lo âu, rối loạn lưỡng cực… và những người đang học tập và làm việc trong ngành tâm lý học. ",Nhã Nam,Những Đêm Không Ngủ Những Ngày Chậm Trôi,350,169000,2020,AZ Việt Nam,,,
0,62948fdbbfc748518b31f45b,49,Gosho Aoyama,Bìa cứng,truyentranh,"Chuyện gì đã xảy ra trên cầu Vauxhall ở London…? Bí ẩn bao trùm hai mẹ con Mary và Masumi Sera sẽ được làm sáng tỏ trong chương phá giải vụ án đầu độc tại bữa tiệc của người mẫu!. Tìm đến nơi Kazami đang lâm nạn, Toru Amuro tình cờ gặp Conan và nhóm thám tử nhí rồi bước vào vụ án giam cầm ở trang trại chăn nuôi! Tại đây, anh cũng chạm trán Rumi Wakasa - người đã dẫn bọn trẻ tới…!?",Nhã Nam,Thám Tử Lừng Danh Conan - Tập 99,350,20000,2020,NXB Kim Đồng,5,1,5
1,62949093bfc748518b31f45e,50,Kosaku Anakubo,Bìa cứng,truyentranh,"Ông tổ của làng truyện hài Pokémon nay đã chính thức oanh tạc thế giới của HGSS! Lần này sẽ là vùng Johto!!. Cả nhóm liên tục tìm kiếm các cơ hội học hỏi kĩ năng mới trong HGSS, thậm chí còn nhiệt tình tham gia quyết đấu Pokémon 3 môn phối hợp, mặc sức quậy tưng cả thành phố mà chẳng buồn để tâm luật lệ là thế nào...",Nhã Nam,Pokémon - Cuộc Phiêu Lưu Của Pippi Hg.Ss Heartgold.Soulsilver - Tập 1,350,22000,2020,NXB Kim Đồng,,,
1,6294915cbfc748518b31f461,50,Thảo Nguyên,Bìa mềm,sachngoaingu,"Đây là bộ tài liệu được biên soạn kỹ lưỡng nhằm giúp người học có thể nhanh chóng nắm vững bộ vần 46 ký tự Hiragana và Katakana, hai bộ vần căn bản của tiếng Nhật. Bộ sách Tự học viết tiếng Nhật căn bản (Hiragana & Katakana) được biên soạn khoa học, hình thức trình bày hấp dẫn, dễ tiếp cận và nhấn mạnh vào vai trò chủ động của học viên nhắm giúp học viên dễ dàng học cách viết đẹp và nhanh 46 mẫu tự trong hai bộ vần Hiragana và Katakana.",Nhã Nam,Tập Viết Tiếng Nhật Hiragana,400,32000,2019,NXB Dân Trí,,,
0,629c74ea94d4f89fd8bc733c,38,José Mauro de Vasconcelos,Bìa cứng,sachvanhoc,"Mở đầu bằng những thanh âm trong sáng và kết thúc lắng lại trong những nốt trầm hoài niệm, Cây cam ngọt của tôi khiến ta nhận ra vẻ đẹp thực sự của cuộc sống đến từ những điều giản dị như bông hoa trắng của cái cây sau nhà, và rằng cuộc đời thật khốn khổ nếu thiếu đi lòng yêu thương và niềm trắc ẩn. Cuốn sách kinh điển này bởi thế không ngừng khiến trái tim người đọc khắp thế giới thổn thức, kể từ khi ra mắt lần đầu năm 1968 tại Brazil.",Nhã Nam,Cây Cam Ngọt Của Tôi,350,108000,2020,NXB Hội Nhà Văn,4.333333333333333,3,13
0,629c771894d4f89fd8bc7351,88,Nguyễn Nhật Ánh,Bìa cứng,sachvanhoc,"Trong Cho tôi xin một vé đi tuổi thơ, nhà văn Nguyễn Nhật Ánh mời người đọc lên chuyến tàu quay ngược trở lại thăm tuổi thơ và tình bạn dễ thương của 4 bạn nhỏ. Những trò chơi dễ thương thời bé, tính cách thật thà, thẳng thắn một cách thông minh và dại dột, những ước mơ tự do trong lòng… khiến cuốn sách có thể làm các bậc phụ huynh lo lắng rồi thở phào. Không chỉ thích hợp với người đọc trẻ, cuốn sách còn có thể hấp dẫn và thực sự có ích cho người lớn trong quan hệ với con mình.",Nhã Nam,Cho Tôi Xin Một Vé Đi Tuổi Thơ ,350,90000,2020,NXB Trẻ,4,2,8
0,629c77fb94d4f89fd8bc7357,49,André Aciman,Bìa cứng,sachvanhoc,"Trong Cho tôi xin một vé đi tuổi thơ, nhà văn Nguyễn Nhật Ánh mời người đọc lên chuyến tàu quay ngược trở lại thăm tuổi thơ và tình bạn dễ thương của 4 bạn nhỏ. Những trò chơi dễ thương thời bé, tính cách thật thà, thẳng thắn một cách thông minh và dại dột, những ước mơ tự do trong lòng… khiến cuốn sách có thể làm các bậc phụ huynh lo lắng rồi thở phào. Không chỉ thích hợp với người đọc trẻ, cuốn sách còn có thể hấp dẫn và thực sự có ích cho người lớn trong quan hệ với con mình.",Nhã Nam,Tìm Em Nơi Anh - Find Me,350,80000,2020,NXB Trẻ,4,3,12
0,629f54cda8aaf1190391c0df,50,Nguyễn Nhật Ánh,Bìa mềm,sachvanhoc,Tác phẩm gồm 20 truyện ngắn về những chuyện của người lớn dưới con mắt nhìn của tuổi mới lớn. Văn phong dí dỏm cuốn hút người đọc.,Nhã Nam,Chuyện Cổ Tích Dành Cho Người Lớn ,400,43000,2019,NXB Trẻ,3.5,2,7
0,629f554ea8aaf1190391c0e2,50,:Khotudien,Bìa mềm,sachvanhoc,Tác phẩm gồm 20 truyện ngắn về những chuyện của người lớn dưới con mắt nhìn của tuổi mới lớn. Văn phong dí dỏm cuốn hút người đọc.,Nhã Nam,Từ Điển Tiếng “Em” ,350,43000,2021,NXB Phụ Nữ Việt Nam,5,1,5
0,629f55ada8aaf1190391c0e5,47,Nguyễn Nhật Ánh,Bìa mềm,sachvanhoc,"Kể về mối tình đầu trong sáng của một cậu học trò dành cho một cô gái quê 16 tuổi trong dịp về quê nghỉ hè, và những việc làm cao đẹp của cậu cho em bé quê chân chất chịu nhiều thiệt thòi ở nông thôn. Chuyện nhiều hình ảnh, dễ thương và trong sáng… vẫn không thiếu những “pha” thú vị cho ta những tiếng cười sảng khoái.",Nhã Nam,Hạ Đỏ,520,49000,2018,NXB Trẻ,5,1,5
0,629f5641a8aaf1190391c0e8,50,Harper Lee,Bìa mềm,sachvanhoc,"Nào, hãy mở cuốn sách này ra. Bạn phải làm quen ngay với bố Atticus của hai anh em - Jem và Scout, ông bố luật sư có một cách riêng, để những đứa trẻ của mình cứng cáp và vững vàng hơn khi đón nhận những bức xúc không sao hiểu nổi trong cuộc sống. Bạn sẽ nhớ rất lâu người đàn ông thích trốn trong nhà Boo Radley, kẻ bị đám đông coi là lập dị đã chọn một cách rất riêng để gửi những món quà nhỏ cho Jem và Scout, và khi chúng lâm nguy, đã đột nhiên xuất hiện để che chở. Và tất nhiên, bạn không thể bỏ qua anh chàng Tom Robinson, kẻ bị kết án tử hình vì tội hãm hiếp một cô gái da trắng, sự thật thà và suy nghĩ quá đỗi đơn giản của anh lại dẫn đến một cái kết hết sức đau lòng, chỉ vì lý do anh là một người da đen.",Nhã Nam,Giết Con Chim Nhại,400,99000,2019,NXB Trẻ,3,2,6
0,629f56ffa8aaf1190391c0eb,50,Thương Thái Vi,Bìa cứng,sachvanhoc,"Nào, hãy mở cuốn sách này ra. Bạn phải làm quen ngay với bố Atticus của hai anh em - Jem và Scout, ông bố luật sư có một cách riêng, để những đứa trẻ của mình cứng cáp và vững vàng hơn khi đón nhận những bức xúc không sao hiểu nổi trong cuộc sống. Bạn sẽ nhớ rất lâu người đàn ông thích trốn trong nhà Boo Radley, kẻ bị đám đông coi là lập dị đã chọn một cách rất riêng để gửi những món quà nhỏ cho Jem và Scout, và khi chúng lâm nguy, đã đột nhiên xuất hiện để che chở. Và tất nhiên, bạn không thể bỏ qua anh chàng Tom Robinson, kẻ bị kết án tử hình vì tội hãm hiếp một cô gái da trắng, sự thật thà và suy nghĩ quá đỗi đơn giản của anh lại dẫn đến một cái kết hết sức đau lòng, chỉ vì lý do anh là một người da đen.",Nhã Nam,Bến Xe,350,99000,2020,NXB Văn Học,0,0,0
0,629f57d1a8aaf1190391c0ee,50,Kulzsc,Bìa mềm,sachvanhoc,"Sau thành công của cuốn sách đầu tay “Phải lòng với cô đơn” chàng họa sĩ nổi tiếng và tài năng Kulzsc đã trở lại với một cuốn sách vô cùng đặc biệt mang tên: ""Tô bình yên - vẽ hạnh phúc” –  sắc nét phong cách cá nhân với một chút “thơ thẩn, rất hiền”.",Nhã Nam,Tô Bình Yên Vẽ Hạnh Phúc,350,63000,2021,NXB Phụ Nữ Việt Nam,5,1,5
0,629f58daa8aaf1190391c0f1,35,Dae Ho Choi,Bìa cứng,sachvanhoc,"‘Lo lắng’ luôn là từ mang ý nghĩa chẳng mấy tốt đẹp. Tôi viết cuốn sách này với mong muốn từ nay về sau sẽ không có chuyện mình cứ lùi về phía sau mà không thể tiến lên phía trước chỉ vì cái nhìn hay những lời nói của người ngoài. Trên đời này mọi chuyện đều có thể lo lắng nhưng ngược lại, có những chuyện chẳng cần lo gì cũng được. Cuốn sách này chứa đựng phương pháp giảm bớt nỗi âu lo và những điều ta nhận ra sau khi gạt đi lo lắng. Chuyện của tôi, để tôi lo.",Đông A,"Chỉ Lo Chuyện Mình, Không Lo Chuyện Người ",350,81000,2020,NXB Văn Học,5,1,5
0,629f59d9a8aaf1190391c0f4,21,Liêu Hà Trinh,Bìa cứng,sachvanhoc,"Liêu Hà Trinh khắc hoạ một chữ “Thương” thật lớn qua “Giỏ Trái Cây”, ký gửi nỗi niềm của mình lên từng trang viết.Tôi, bạn và chúng ta - tất cả những con người đều chịu ít nhiều ảnh hưởng do biến động từ đại dịch. Dù là ở nghĩa bóng hay nghĩa đen, mỗi người đều cần cho mình 1 “Giỏ trái cây” để thân thể khoẻ mạnh, để tâm hồn sáng trong và nồng đượm mến thương.Đây cuốn sách chuyên chở sự tươi mát của năng lượng lạc quan, chia sẻ tinh thần ủi an, và ve vuốt nhẹ nhàng như một giỏ trái cây, một thùng rau củ chuyền tay nhau trong giai đoạn “thành phố bệnh”. Dù là táo, lê, cam, quýt, hay mâm cúng “cầu vừa đủ xài” (mãng cầu, dừa, đu đủ, xoài) thì quà tặng từ tấm lòng, với lời cầu mong sức khoẻ và bình an luôn cần thiết cho bất cứ ai, bất cứ đâu.",Đông A,Giỏ Trái Cây,350,101000,2020,NXB Phụ Nữ Việt Nam,5,1,5
0,629f5b7ca8aaf1190391c0f9,19,Nguyễn Nhật Ánh,Bìa cứng,sachvanhoc,"Một thế giới mới đồng dạng cả tin, đầy những thứ giả tạo đẹp đẽ, nơi người ta đánh mất dần cá tính, sự hoài nghi, rung cảm, mất luôn cả bóng mình. Những con người không bóng, thì cô độc nào hơn?",Đông A,Ra Bờ Suối Ngắm Hoa Kèn Hồng,350,130000,2020,NXB Trẻ,2,1,2
0,629f669e8c2bd1306373f815,33,Ploy,Bìa cứng,sachvanhoc,"Cuốn sách không chỉ có những nỗi đau, mà còn xen lẫn cả những kỷ niệm đẹp đẽ, trong sáng của tuổi thanh xuân. Rất có thể bạn sẽ thấy bóng dáng của mình trong mối tình ngây dại thuở học trò, như lần đầu tiên tặng hoa cho con gái hay khuôn mặt đỏ như trái cà chua lúc được người ấy lau bảng giúp.",Đông A,Cô Gái Cãi Lời Thượng Đế,350,87000,2020,NXB Phụ Nữ Việt Nam,5,2,10
0,629f679e8c2bd1306373f818,33,Liêu Hà Trinh,Bìa mềm,sachvanhoc,"Tiếp nối những cuộc trò chuyện thân mật, riêng tư và không kém phần dịu dàng từ cuốn sách Em mà Liêu Hà Trinh đã gửi gắm đến độc giả, là những lời bộc bạch được cô đọng tinh tế trong Anh.Nếu như Em là những lời thở than, những tâm tư trải dài từ tình yêu đến cuộc sống, những khao khát yêu đương cháy bỏng và cả những phút cô đơn đến ướt lòng thì Anh lại được Liêu Hà Trinh khoác cho mình một gam màu trầm trưởng thành và sâu lắng hơn.",Nhã Nam,Anh,350,114000,2021,NXB Phụ Nữ Việt Nam,3.5,2,7
0,629f68dd8c2bd1306373f81b,0,Thiên An,Bìa cứng,sachvanhoc,"Tiếp nối những cuộc trò chuyện thân mật, riêng tư và không kém phần dịu dàng từ cuốn sách Em mà Liêu Hà Trinh đã gửi gắm đến độc giả, là những lời bộc bạch được cô đọng tinh tế trong Anh.Nếu như Em là những lời thở than, những tâm tư trải dài từ tình yêu đến cuộc sống, những khao khát yêu đương cháy bỏng và cả những phút cô đơn đến ướt lòng thì Anh lại được Liêu Hà Trinh khoác cho mình một gam màu trầm trưởng thành và sâu lắng hơn.",Nhã Nam,Tâm An Ắt Bình An,350,80000,2020,NXB Phụ Nữ Việt Nam,3.5,2,7
0,629f69c48c2bd1306373f81e,18,Nguyên Bảo,Bìa cứng,sachvanhoc,"Cuốn sách là những dòng tản mạn về tình yêu trong quá khứ với nhiều day dứt và trân trọng. Đó là những câu chuyện không trọn vẹn, nhưng được kể lại khi mà vết xước ngày cũ đã thôi cồn cào. Nó như bức tâm thư mà tác giả gửi đến những đoạn ký ức đẹp, những hạnh phúc đã từng nếm trải.Người thương đã cũ còn hấp dẫn, thu hút bởi lời văn nhẹ nhàng, du dương, đặc biệt là rất đẹp. Cuốn sách khơi gợi những niềm tâm tư mà dường như không phải ai cũng có thể chia sẻ, những miền chỉ muốn cất giấu cho riêng mình.",Đông A,Người Thương Đã Cũ,350,69000,2020,NXB Phụ Nữ Việt Nam,4.25,4,17
0,62a1fe6f8801b54984b83451,48,Mark Gates,Bìa cứng,sachkinhte,"Blockchain được giới công nghệ đánh giá là phát kiến vĩ đại nhất sau khi mạng Internet ra đời. Ứng dụng phổ biến nhất của nó là các loại tiền điện tử nổi tiếng (Bitcoin, Ethereum, Ripple...) đang làm mưa làm gió trên thị trường. Nhưng nghịch lý là, lại rất ít người nắm được bản chất của tiền điện tử và Blockchain. Rốt cuộc, Blockchain là gì? Nó hoạt động như thế nào? Blockchain thật sự là một đột phá trong công nghệ hay chỉ là một trào lưu nhất thời? Blockchain có liên hệ như thế nào với Bitcoin? Liệu Blockchain có nắm giữ tiềm năng thay đổi thế giới?...",Đông A,"Blockchain - Bản Chất Của Blockchain, Bitcoin, Tiền Điện Tử, Hợp Đồng Thông Minh Và Tương Lai Của Tiền Tệ",350,66000,2020,NXB Lao Động,5,1,5
0,62a1febe8801b54984b83454,47,Og Mandino,Bìa cứng,sachkinhte,"Người Bán Hàng Vĩ Đại Nhất Thế Giới kể về câu chuyện của Hafid, một cậu bé chăn lạc đà nghèo, ở Jerusalem thời cổ đại.  Xuất thân là một cậu nhóc trông lạc đà cho đoàn buôn của Pathros, nhưng với quyết tâm đổi đời, muốn cải thiện vị trí của mình trong cuộc sống, Hafid luôn nuôi ước mơ được trở thành người bán hàng. Cậu tin chỉ như thế mình mới có cơ hội trở nên giàu có và thành công.",Nhã Nam,Người Bán Hàng Vĩ Đại Nhất Thế Giới,350,69000,2020,NXB Tổng Hợp TPHCM,3.6666666666666665,3,11
0,62a2002b8801b54984b83457,36,Geshe Michael Roach,Bìa cứng,sachkinhte,"Cuốn sách này là một câu chuyện về tác giả đã xây dựng đơn vị kim cương lại tại Andin International như thế nào khi sử dụng những nguyên tắc được thu thập từ trí tuệ xưa cổ của Phật giáo, từ cái không có gì thành một hoạt động khắp thế giới sinh nhiều triệu đô la mỗi năm. Phần lớn những quyết định và chính sách trong đơn vị của Tác giả trong suốt thời gian tác giả giữ chức Phó Chủ tịch đều được suy động bỏi những nguyên tắc mà bạn sẽ tìm thấy trong cuốn sách này.",Nhã Nam,Năng Đoạn Kim Cương,350,77000,2020,NXB Tri Thức,2,1,2
0,62a200f08801b54984b8345a,50,Dougal Dixon,Bìa cứng,sachthieunhi,"Đây là cuốn sách không thể thiếu dành cho những người yêu khủng long – một tài liệu hướng dẫn nhận diện 355 loài khủng long và động vật cùng thời, do chuyên gia chấp bút, và được minh họa theo kiến thức khoa học mới nhất.",Nhã Nam,Bách Khoa Khủng Long Toàn Tập,350,246000,2020,NXB Tri Thức,0,0,0
0,62a201988801b54984b8345d,50,DK,Bìa mềm,sachthieunhi,"Cuốn sách khoa học đáng yêu cho các bạn nhỏ này tập hợp 100 câu hỏi về cuộc sống hàng ngày từ các bạn học sinh trên khắp thế giới gửi đến nhà khoa học Robert Winston. Cuốn sách cho chúng ta thấy sự tò mò chung của trẻ em đối với thế giới xung quanh qua những câu hỏi những thu thập từ trẻ em ở Vương quốc Anh, các nước Châu Âu khác, Canada, Mỹ, Ấn Độ, Trung Quốc và Nhật Bản. Các câu hỏi xoay quanh những khía cạnh khác nhau của khoa học, bao trùm ở các chủ đề chính gồm cơ thể con người, vật lý, hóa học, không gian, khoa học tự nhiên và Trái Đất.",Nhã Nam,Siêu Nhí Hỏi Nhà Khoa Học Trả Lời,350,156000,2021,NXB Tri Thức,5,1,5
